ts,id,x,y,z
52:54.0,9322,105.998598,29.360996,407.054473
59:06.0,9322,105.998852,29.360845,412.53946
05:18.0,9322,105.999107,29.360694,418.024447
11:30.0,9322,105.999361,29.360542,423.509435
17:42.0,9322,105.999616,29.360391,428.994422
23:54.0,9322,105.99987,29.36024,434.47941
30:06.0,9322,106.000125,29.360089,439.964397
36:18.0,9322,106.000379,29.359938,445.449385
42:30.0,9322,106.000633,29.359787,450.934372
48:42.0,9322,106.000888,29.359636,456.41936
10:36.0,6761,105.981106,29.385982,471.976993
16:48.0,6761,105.981112,29.385975,471.97636
23:00.0,6761,105.981118,29.385968,471.975727
29:12.0,6761,105.981124,29.385961,471.975094
35:24.0,6761,105.98113,29.385954,471.974461
41:36.0,6761,105.981137,29.385947,471.973828
47:48.0,6761,105.981143,29.38594,471.973195
54:00.0,6761,105.981149,29.385933,471.972562
00:12.0,6761,105.981155,29.385926,471.971929
06:24.0,6761,105.981161,29.385919,471.971296
12:36.0,6761,105.981167,29.385912,471.970663
18:48.0,6761,105.981173,29.385905,471.97003
25:00.0,6761,105.981179,29.385898,471.969397
31:12.0,6761,105.981185,29.385891,471.968764
37:24.0,6761,105.981191,29.385884,471.968131
22:36.0,3231,106.004119,29.354035,354.241701
28:54.0,3231,106.004027,29.353915,351.645971
35:12.0,3231,106.003935,29.353796,349.05024
41:30.0,3231,106.003843,29.353676,346.454509
47:48.0,3231,106.003751,29.353557,343.858778
54:06.0,3231,106.003659,29.353438,341.263048
00:24.0,3231,106.003567,29.353318,338.667317
06:42.0,3231,106.003475,29.353199,336.071586
13:00.0,3231,106.003383,29.353079,333.475856
19:18.0,3231,106.003292,29.35296,330.880125
25:36.0,3231,106.0032,29.35284,328.284394
31:54.0,3231,106.003108,29.352721,325.688663
38:12.0,3231,106.003016,29.352602,323.092933
44:30.0,3231,106.002924,29.352482,320.497202
50:48.0,3231,106.002832,29.352363,317.901471
23:00.0,5152,106.005364,29.355928,391.258117
29:12.0,5152,106.005383,29.355934,391.272033
35:24.0,5152,106.005401,29.355939,391.285949
41:36.0,5152,106.00542,29.355945,391.299866
47:48.0,5152,106.005438,29.355951,391.313782
54:00.0,5152,106.005457,29.355956,391.327698
00:12.0,5152,106.005476,29.355962,391.341614
06:24.0,5152,106.005494,29.355967,391.35553
12:36.0,5152,106.005513,29.355973,391.369446
18:48.0,5152,106.005532,29.355979,391.383362
25:00.0,5152,106.00555,29.355984,391.397278
31:12.0,5152,106.005569,29.35599,391.411194
37:24.0,5152,106.005588,29.355996,391.42511
43:36.0,5152,106.005606,29.356001,391.439026
49:48.0,5152,106.005625,29.356007,391.452942
06:42.0,5276,106.00634,29.366448,366.864561
13:00.0,5276,106.006339,29.36646,366.864778
19:18.0,5276,106.006339,29.366471,366.864995
25:36.0,5276,106.006338,29.366482,366.865212
31:54.0,5276,106.006338,29.366493,366.865429
38:12.0,5276,106.006337,29.366505,366.865646
44:30.0,5276,106.006337,29.366516,366.865863
50:48.0,5276,106.006336,29.366527,366.86608
57:06.0,5276,106.006336,29.366538,366.866297
03:24.0,5276,106.006335,29.36655,366.866514
09:42.0,5276,106.006335,29.366561,366.866731
16:00.0,5276,106.006334,29.366572,366.866948
22:18.0,5276,106.006334,29.366583,366.867165
28:36.0,5276,106.006333,29.366595,366.867382
34:54.0,5276,106.006333,29.366606,366.867599
07:36.0,2253,106.007851,29.361961,354.13524
13:48.0,2253,106.007854,29.361974,354.135377
20:00.0,2253,106.007856,29.361986,354.135513
26:12.0,2253,106.007859,29.361999,354.135649
32:24.0,2253,106.007861,29.362012,354.135785
38:36.0,2253,106.007864,29.362024,354.135921
44:48.0,2253,106.007866,29.362037,354.136058
51:00.0,2253,106.007868,29.362049,354.136194
57:12.0,2253,106.007871,29.362062,354.13633
03:24.0,2253,106.007873,29.362074,354.136466
09:36.0,2253,106.007876,29.362087,354.136603
15:48.0,2253,106.007878,29.362099,354.136739
22:00.0,2253,106.007881,29.362112,354.136875
28:12.0,2253,106.007883,29.362124,354.137011
34:24.0,2253,106.007886,29.362137,354.137147
44:54.0,2361,105.975887,29.359375,460.011933
51:06.0,2361,105.975802,29.359376,459.810873
57:18.0,2361,105.975716,29.359377,459.609813
03:30.0,2361,105.975631,29.359379,459.408753
09:42.0,2361,105.975546,29.35938,459.207693
15:54.0,2361,105.97546,29.359381,459.006633
22:06.0,2361,105.975375,29.359382,458.805573
28:18.0,2361,105.975289,29.359383,458.604512
34:30.0,2361,105.975204,29.359384,458.403452
40:42.0,2361,105.975118,29.359385,458.202392
46:54.0,2361,105.975033,29.359386,458.001332
53:06.0,2361,105.974947,29.359387,457.800272
59:18.0,2361,105.974862,29.359388,457.599212
05:30.0,2361,105.974776,29.35939,457.398152
11:42.0,2361,105.974691,29.359391,457.197091
