ts,id,x,y,z,devlon,devlat,devheight,tardistance,tarazim,tarpitch,tarheadangle,radialspeed,tarspeed,rcs,tartype,tarcatecred,threlevel,radtaskway,historydotnum,tacquality,tarrange,reserve,reporttime,devid
47:43.5,157,105.98904812352701,29.352519026029043,439.2014146987349,106.006832,29.35655,352,0,25549,279,16500,-830,900,0,4,0,1,0,0,0,0,0,13:04.1,1
47:45.5,157,105.9888851079261,29.35253670189792,442.6952214566991,106.006832,29.35655,352,0,25568,287,2700,-830,900,0,4,0,1,0,0,0,0,0,13:04.1,1
47:47.5,157,105.98870531750072,29.352540241585487,446.5129420934245,106.006832,29.35655,352,0,25583,297,2300,-820,900,0,4,0,1,0,0,0,0,0,13:04.1,1
47:49.5,157,105.9885244999183,29.352498593554383,443.93536993395537,106.006832,29.35655,352,0,25582,286,2100,-830,900,0,4,0,1,0,0,0,0,0,13:04.1,1
47:51.5,157,105.98835047930262,29.35246997657812,441.06281224358827,106.006832,29.35655,352,0,25586,274,2200,-850,900,0,4,0,1,0,0,0,0,0,13:04.1,1
47:53.5,157,105.98816695220341,29.352441115495854,440.13881709147245,106.006832,29.35655,352,0,25589,269,1900,-850,900,0,4,0,1,0,0,0,0,0,13:04.1,1
47:55.5,157,105.9880128327975,29.352385322089532,439.9913213327527,106.006832,29.35655,352,0,25582,266,1400,-850,900,0,4,0,1,0,0,0,0,0,13:04.1,1
47:57.5,157,105.987857611872,29.352305152130327,444.615664656274,106.006832,29.35655,352,0,25567,277,1000,-860,900,0,4,0,1,0,0,0,0,0,13:04.1,1
47:59.5,157,105.98769829112035,29.352262648401076,441.718954263255,106.006832,29.35655,352,0,25565,266,800,-850,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:01.5,157,105.98751336162222,29.3522712958118,438.43457806296647,106.006832,29.35655,352,0,25581,254,1000,-830,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:03.5,157,105.98737335234328,29.35216368156602,435.97091441228986,106.006832,29.35655,352,0,25557,245,1000,-820,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:05.5,157,105.98722108274042,29.352099475400884,434.02080163452774,106.006832,29.35655,352,0,25548,237,1100,-810,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:07.5,157,105.98707937935146,29.35215218650193,437.1791340941563,106.006832,29.35655,352,0,25574,245,1500,-810,800,0,4,0,1,0,0,0,0,0,13:04.1,1
48:09.5,157,105.9870682941684,29.35208426910435,412.5667755221948,106.006832,29.35655,352,0,25554,174,1800,-750,700,0,4,0,1,0,0,0,0,0,13:04.1,1
48:11.5,157,105.98680824932725,29.35204162873936,423.9528179485351,106.006832,29.35655,352,0,25559,204,1800,-760,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:13.5,157,105.98657702219195,29.352045729519432,433.69495144858956,106.006832,29.35655,352,0,25576,229,1800,-820,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:15.5,157,105.9864242619666,29.351998971397702,442.1843328801915,106.006832,29.35655,352,0,25572,251,1700,-820,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:17.5,157,105.98623467599079,29.35196588601714,448.16919057723135,106.006832,29.35655,352,0,25575,265,1500,-860,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:19.5,157,105.98606605157099,29.351956184323587,445.52673722524196,106.006832,29.35655,352,0,25583,256,1700,-910,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:21.5,157,105.98592433953468,29.35192855849505,443.7488692905754,106.006832,29.35655,352,0,25584,249,1600,-910,800,0,4,0,1,0,0,0,0,0,13:04.1,1
48:23.5,157,105.98575184878572,29.351858385479954,440.69240752235055,106.006832,29.35655,352,0,25575,239,1300,-860,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:25.5,157,105.98558432182884,29.351805883393066,436.100849410519,106.006832,29.35655,352,0,25570,225,1100,-830,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:27.5,157,105.98541867129155,29.351793775356672,438.38041693065315,106.006832,29.35655,352,0,25577,229,1000,-830,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:29.5,157,105.98525107174974,29.35178738917174,439.8556808801368,106.006832,29.35655,352,0,25586,231,1200,-810,800,0,4,0,1,0,0,0,0,0,13:04.1,1
48:31.5,157,105.98506978137848,29.35179593295659,443.89031536877155,106.006832,29.35655,352,0,25600,240,1700,-820,900,0,4,0,1,0,0,0,0,0,13:04.1,1
48:33.5,157,105.98491023723834,29.35175715314967,442.4639112930745,106.006832,29.35655,352,0,25599,235,1900,-820,800,0,4,0,1,0,0,0,0,0,13:04.1,1
48:35.5,157,105.98474394345588,29.351748362763963,445.0328124454245,106.006832,29.35655,352,0,25606,240,2100,-810,800,0,4,0,1,0,0,0,0,0,13:04.1,1
48:37.5,157,105.98459710671041,29.351740213422005,443.9182131411508,106.006832,29.35655,352,0,25613,235,2000,-800,800,0,4,0,1,0,0,0,0,0,13:04.1,1
48:39.5,157,105.98442599486832,29.351703182868768,441.400133096613,106.006832,29.35655,352,0,25613,227,1800,-810,800,0,4,0,1,0,0,0,0,0,13:04.1,1
48:41.5,157,105.98426656102386,29.351612335120446,429.52212888468057,106.006832,29.35655,352,0,25598,195,1400,-820,800,0,4,0,1,0,0,0,0,0,13:04.1,1
48:43.5,157,105.98412699736188,29.35154935315735,434.18093969114125,106.006832,29.35655,352,0,25589,205,1300,-800,800,0,4,0,1,0,0,0,0,0,13:04.1,1
48:45.5,157,105.98379282310195,29.351648204838625,438.1034379163757,106.006832,29.35655,352,0,25635,213,2100,-810,1000,0,4,0,1,0,0,0,0,0,13:04.1,1
