ts,id,tra_id,x,y,z
00:09.9,2871,11,105.98179549026013,29.33817004003672,404.5474109929055
00:11.3,2790,12,105.98107723038247,29.348771468067966,430.294422977604
00:17.4,2790,12,105.98099195032931,29.348745976389907,430.29804638121277
00:23.7,2790,12,105.98092190415278,29.34872503832986,430.30103150196373
00:29.9,2790,12,105.98092190415278,29.34872503832986,430.30103150196373
00:11.5,104,13,106.00366265050002,29.355943802970693,425.91415795776993
00:17.5,104,13,106.00317036276114,29.35579238786753,425.9251038674265
00:11.8,2926,14,106.00393867837334,29.356040552378467,422.8807579483837
00:13.5,104,15,106.00349019181645,29.35588488862209,424.84030819125473
00:35.5,104,15,106.00169199179443,29.3554435352923,424.8358699865639
00:15.5,104,16,106.00334138698481,29.355829323683714,424.5303517393768
00:16.1,2871,17,105.98198193740575,29.338587894954664,420.9334410382435
00:17.2,2996,18,105.98284226572223,29.34652638367434,432.24445157591254
00:18.0,2926,19,106.0034586898759,29.355864980111676,427.11584931984544
00:23.9,2926,19,106.00283996250803,29.35575568000878,427.11930531449616
00:19.5,104,20,106.00301621429244,29.355758460766825,425.48396191280335
00:21.5,104,21,106.00284698933669,29.355702825417513,425.14393128361553
00:22.3,2871,22,105.9824680728841,29.338938175123346,420.90381383057684
00:22.3,3086,23,105.98505388979666,29.3395522627989,400.4973378982395
00:23.4,2996,24,105.98323178510365,29.346070331388056,416.64931348431855
00:29.3,2996,24,105.98340957352733,29.34614872958388,416.6415821099654
00:35.5,2996,24,105.98355494429204,29.346212832511235,416.63530401326716
00:41.8,2996,24,105.98355494429204,29.346212832511235,416.63530401326716
00:48.0,2996,24,105.98355494429204,29.346212832511235,416.63530401326716
00:54.2,2996,24,105.98355494429204,29.346212832511235,416.63530401326716
00:23.5,104,25,106.00269544344856,29.355660666093552,424.5024327384308
00:23.5,104,26,106.00269544344856,29.355660666093552,424.5024327384308
00:25.5,104,27,106.0025281395364,29.355613187758365,425.89820573013276
00:25.5,104,28,106.0025281395364,29.355613187758365,425.89820573013276
00:27.6,104,29,106.00235639356461,29.35557180875406,425.82386540435255
00:27.6,104,30,106.00235639356461,29.35557180875406,425.82386540435255
00:28.5,2871,31,105.98286981950321,29.33922764656637,420.87977249734104
00:28.5,3086,32,105.98547299046842,29.33987831845776,400.4734546793625
00:29.5,104,33,106.0021834651641,29.35552571119664,424.2141904691234
00:29.5,104,34,106.0021834651641,29.35552571119664,424.2141904691234
00:30.2,2926,35,106.00243957005512,29.355570772387317,437.0063927974552
00:33.0,2926,35,106.00243957005512,29.355570772387317,437.0063927974552
00:33.5,2926,35,106.00243957005512,29.355570772387317,437.0063927974552
00:34.0,2926,35,106.00243957005512,29.355570772387317,437.0063927974552
00:31.5,104,36,106.00203155021568,29.355484084977395,428.8955477140844
00:31.5,104,37,106.00203155021568,29.355484084977395,428.8955477140844
00:33.5,104,38,106.00186086882772,29.355455953176048,425.17855139728636
00:33.5,104,39,106.00186086882772,29.355455953176048,425.17855139728636
00:37.5,104,39,106.00152832284753,29.355417270349836,425.17903644870967
00:37.5,104,39,106.00152832284753,29.355417270349836,425.17903644870967
00:34.4,2926,40,106.00203020283271,29.35563275664995,415.28928106464446
00:34.9,2926,40,106.00203020283271,29.35563275664995,415.28928106464446
00:35.3,2926,40,106.00203020283271,29.35563275664995,415.28928106464446
00:34.7,2871,41,105.98276410845865,29.339977744558993,411.67929974664
00:34.7,3086,42,105.98581637134566,29.34014546241958,400.4542333483696
00:40.9,3086,42,105.98581637134566,29.34014546241958,400.4542333483696
00:47.2,3086,42,105.98581637134566,29.34014546241958,400.4542333483696
01:12.6,3504,42,105.98413950887186,29.343977519309245,400.4386181002483
00:35.5,104,43,106.00169199179443,29.3554435352923,424.8358699865639
00:35.8,2926,44,106.00195842545662,29.355429100300405,418.59367190580815
00:36.2,2926,44,106.00195842545662,29.355429100300405,418.59367190580815
00:36.7,2926,45,106.00186924677433,29.35552193465762,417.90785011835396
00:37.1,2926,45,106.00186924677433,29.35552193465762,417.90785011835396
00:37.6,2926,45,106.00186924677433,29.35552193465762,417.90785011835396
00:38.0,2926,45,106.00186924677433,29.35552193465762,417.90785011835396
00:38.5,2926,45,106.00186924677433,29.35552193465762,417.90785011835396
00:38.9,2926,45,106.00186924677433,29.35552193465762,417.90785011835396
00:39.4,2926,46,106.00170159522489,29.355454632660695,422.6147084059194
00:39.8,2926,46,106.00170159522489,29.355454632660695,422.6147084059194
00:40.3,2926,46,106.00170159522489,29.355454632660695,422.6147084059194
00:40.8,2926,46,106.00170159522489,29.355454632660695,422.6147084059194
00:41.2,2926,46,106.00170159522489,29.355454632660695,422.6147084059194
00:39.5,104,47,106.0013534589829,29.355400375100142,426.79949500598013
00:39.5,104,48,106.0013534589829,29.355400375100142,426.79949500598013
00:41.2,2871,49,105.98308899351187,29.340403425950853,412.8189054876566
00:41.5,104,50,106.00117805210624,29.355380622650532,427.4996664756909
00:41.5,104,51,106.00117805210624,29.355380622650532,427.4996664756909
00:41.7,2926,52,106.00139896924284,29.355651727687004,419.36127918213606
00:42.1,2926,52,106.00139896924284,29.355651727687004,419.36127918213606
00:42.6,2926,52,106.00139896924284,29.355651727687004,419.36127918213606
00:43.0,2926,52,106.00139896924284,29.355651727687004,419.36127918213606
00:43.5,2926,52,106.00139896924284,29.355651727687004,419.36127918213606
00:43.9,2926,52,106.00139896924284,29.355651727687004,419.36127918213606
00:43.5,104,53,106.0010090579055,29.355333784248323,427.5353109072894
00:44.4,2926,54,106.00119945678708,29.35541138086156,420.373787955381
00:44.8,2926,54,106.00119945678708,29.35541138086156,420.373787955381
00:45.3,2926,54,106.00119945678708,29.35541138086156,420.373787955381
00:45.5,104,55,106.00084301193588,29.35531503650758,427.41050752811134
00:45.7,2926,56,106.00105930950627,29.35546993169397,420.7260661777109
00:46.2,2926,56,106.00105930950627,29.35546993169397,420.7260661777109
00:46.6,2926,56,106.00105930950627,29.35546993169397,420.7260661777109
00:47.1,2926,57,106.00106034013295,29.35520418054074,418.54440407361835
00:47.6,2926,57,106.00106034013295,29.35520418054074,418.54440407361835
00:48.0,2926,57,106.00106034013295,29.35520418054074,418.54440407361835
00:48.5,2926,57,106.00106034013295,29.35520418054074,418.54440407361835
00:47.4,2871,58,105.98327300990461,29.34088943611979,423.7987029971555
00:47.4,3504,59,105.98428849032761,29.34187548279823,409.4791269004345
00:47.5,104,60,106.00067661839323,29.355288902917522,425.5122063001618
00:48.9,2926,61,106.00094326455368,29.355176125692655,420.98692509625107
00:49.4,2926,61,106.00094326455368,29.355176125692655,420.98692509625107
00:49.8,2926,61,106.00094326455368,29.355176125692655,420.98692509625107
00:50.3,2926,61,106.00094326455368,29.355176125692655,420.98692509625107
00:50.7,2926,61,106.00094326455368,29.355176125692655,420.98692509625107
00:51.2,2926,61,106.00094326455368,29.355176125692655,420.98692509625107
